FORMA|KEY|SIGL
2v|2v|v
##|##|v
par|par|v
robeur|robeur|v
ou|ou|v
par|par|v
robber|robber|v
##|##|v
tout|tout|v
par|par|v
mal|mal|v
seignour|seignour|v
ou|ou|v
par|par|v
guerre|guerre|v
##|##|v
quant|quant|v
moeurt|moeurt|v
pert|pert|v
l’|l’|v
avoir|avoir|v
et|et|v
la|la|v
terre|terre|v
##|##|v
lors|lors|v
laisse|laisse|v
tout|tout|v
et|et|v
deguerpist|deguerpist|v
##|##|v
tel|tel|v
le|le|v
despend|despend|v
qui|qui|v
ne|ne|v
·l|·l|v
conquist|conquist|v
##|##|v
ne|ne|v
·l|·l|v
dis|dis|v
pas|pas|v
pource_que|pource_que|v
donner|donner|v
##|##|v
ne|ne|v
peüst|peüst|v
on|on|v
moult|moult|v
sans|sans|v
conquester|conquester|v
##|##|v
qui|qui|v
moult|moult|v
despend|despend|v
et|et|v
poy|poy|v
amasse|amasse|v
##|##|v
tost|tost|v
pert|pert|v
son|son|v
pris|pris|v
aussi|aussi|v
sa|sa|v
grasse|grasse|v
##|##|v
cil|cil|v
qui|qui|v
conquiert|conquiert|v
et|et|v
ne|ne|v
despend|despend|v
##|##|v
il|il|v
est|est|v
haïs|haïs|v
de|de|v
toute|toute|v
gent|gent|v
##|##|v
ly|ly|v
ungs|ungs|v
sans|sans|v
l’|l’|v
autre|autre|v
n’|n’|v
a|a|v
mestier|mestier|v
##|##|v
car|car|v
ly|ly|v
ungs|ungs|v
doibt|doibt|v
àl’|àl’|v
autre|autre|v
aidier|aidier|v
##|##|v
peu|peu|v
vault|vault|v
conquerre|conquerre|v
sans|sans|v
donner|donner|v
##|##|v
et|et|v
qui|qui|v
despend|despend|v
sans|sans|v
conquester|conquester|v
##|##|v
ce|ce|v
a|a|v
on|on|v
veü|veü|v
de|de|v
mainte|mainte|v
gent|gent|v
##|##|v
qui|qui|v
d’|d’|v
oucqués|oucqués|v
viennent|viennent|v
à|à|v
nient|nient|v
##|##|v
bon|bon|v
prince|prince|v
doibt|doibt|v
tousjors|tousjors|v
despendre|despendre|v
##|##|v
et|et|v
conquerre|conquerre|v
donner|donner|v
et|et|v
prendre|prendre|v
##|##|v
car|car|v
largesse|largesse|v
est|est|v
primesse|primesse|v
d’|d’|v
amour|amour|v
##|##|v
riche|riche|v
est|est|v
de|de|v
prouesse|prouesse|v
et|et|v
d’|d’|v
onnour|onnour|v
##|##|v
et|et|v
si|si|v
peüst|peüst|v
du|du|v
siecle|siecle|v
joÿr|joÿr|v
##|##|v
amour|amour|v
et|et|v
honnour|honnour|v
maintenir|maintenir|v
##|##|v
dont|dont|v
ert|ert|v
il|il|v
du|du|v
siecle|siecle|v
loés|loés|v
##|##|v
et|et|v
aprés|aprés|v
sa|sa|v
mort|mort|v
remembrés|remembrés|v
##|##|v
de|de|v
ce|ce|v
vous|vous|v
vueils|vueils|v
atant|atant|v
laissier|laissier|v
##|##|v
à|à|v
mon|mon|v
compte|compte|v
vueils|vueils|v
repairier|repairier|v
##|##|v
seigneurs|seigneurs|v
je|je|v
scay|scay|v
assés|assés|v
de_fy|de_fy|v
##|##|v
que|que|v
d’|d’|v
alixandre|alixandre|v
avés|avés|v
ouÿ|ouÿ|v
